sample_id,file,pair_id,mate
MT_A24_3,../input/demux/TS_SN_015/HNJJFDRXX/L002/TS_SN_015_S15_L002_R2_001.fastq.gz,TS_SN_015_30,2
MT_Ctrl24_3,../input/demux/TS_SN_016/HNJJFDRXX/L001/TS_SN_016_S16_L001_R1_001.fastq.gz,TS_SN_016_31,1
MT_Ctrl24_3,../input/demux/TS_SN_016/HNJJFDRXX/L001/TS_SN_016_S16_L001_R2_001.fastq.gz,TS_SN_016_31,2
MT_Ctrl24_3,../input/demux/TS_SN_016/HNJJFDRXX/L002/TS_SN_016_S16_L002_R1_001.fastq.gz,TS_SN_016_32,1
MT_Ctrl24_3,../input/demux/TS_SN_016/HNJJFDRXX/L002/TS_SN_016_S16_L002_R2_001.fastq.gz,TS_SN_016_32,2
MT_A72_3,../input/demux/TS_SN_017/HNJJFDRXX/L001/TS_SN_017_S17_L001_R1_001.fastq.gz,TS_SN_017_33,1
MT_A72_3,../input/demux/TS_SN_017/HNJJFDRXX/L001/TS_SN_017_S17_L001_R2_001.fastq.gz,TS_SN_017_33,2
MT_A72_3,../input/demux/TS_SN_017/HNJJFDRXX/L002/TS_SN_017_S17_L002_R1_001.fastq.gz,TS_SN_017_34,1
MT_A72_3,../input/demux/TS_SN_017/HNJJFDRXX/L002/TS_SN_017_S17_L002_R2_001.fastq.gz,TS_SN_017_34,2
MT_Ctrl72_3,../input/demux/TS_SN_018/HNJJFDRXX/L001/TS_SN_018_S18_L001_R1_001.fastq.gz,TS_SN_018_35,1
MT_Ctrl72_3,../input/demux/TS_SN_018/HNJJFDRXX/L001/TS_SN_018_S18_L001_R2_001.fastq.gz,TS_SN_018_35,2
MT_Ctrl72_3,../input/demux/TS_SN_018/HNJJFDRXX/L002/TS_SN_018_S18_L002_R1_001.fastq.gz,TS_SN_018_36,1
MT_Ctrl72_3,../input/demux/TS_SN_018/HNJJFDRXX/L002/TS_SN_018_S18_L002_R2_001.fastq.gz,TS_SN_018_36,2
MB_4,../input/demux/TS_SN_019/HNJJFDRXX/L001/TS_SN_019_S19_L001_R1_001.fastq.gz,TS_SN_019_37,1
MB_4,../input/demux/TS_SN_019/HNJJFDRXX/L001/TS_SN_019_S19_L001_R2_001.fastq.gz,TS_SN_019_37,2
MB_4,../input/demux/TS_SN_019/HNJJFDRXX/L002/TS_SN_019_S19_L002_R1_001.fastq.gz,TS_SN_019_38,1
MB_4,../input/demux/TS_SN_019/HNJJFDRXX/L002/TS_SN_019_S19_L002_R2_001.fastq.gz,TS_SN_019_38,2
MT_4,../input/demux/TS_SN_020/HNJJFDRXX/L001/TS_SN_020_S20_L001_R1_001.fastq.gz,TS_SN_020_39,1
MT_4,../input/demux/TS_SN_020/HNJJFDRXX/L001/TS_SN_020_S20_L001_R2_001.fastq.gz,TS_SN_020_39,2
MT_4,../input/demux/TS_SN_020/HNJJFDRXX/L002/TS_SN_020_S20_L002_R1_001.fastq.gz,TS_SN_020_40,1
MT_4,../input/demux/TS_SN_020/HNJJFDRXX/L002/TS_SN_020_S20_L002_R2_001.fastq.gz,TS_SN_020_40,2
MT_A24_4,../input/demux/TS_SN_021/HNJJFDRXX/L001/TS_SN_021_S21_L001_R1_001.fastq.gz,TS_SN_021_41,1
MT_A24_4,../input/demux/TS_SN_021/HNJJFDRXX/L001/TS_SN_021_S21_L001_R2_001.fastq.gz,TS_SN_021_41,2
MT_A24_4,../input/demux/TS_SN_021/HNJJFDRXX/L002/TS_SN_021_S21_L002_R1_001.fastq.gz,TS_SN_021_42,1
MT_A24_4,../input/demux/TS_SN_021/HNJJFDRXX/L002/TS_SN_021_S21_L002_R2_001.fastq.gz,TS_SN_021_42,2
MT_Ctrl24_4,../input/demux/TS_SN_022/HNJJFDRXX/L001/TS_SN_022_S22_L001_R1_001.fastq.gz,TS_SN_022_43,1
MT_Ctrl24_4,../input/demux/TS_SN_022/HNJJFDRXX/L001/TS_SN_022_S22_L001_R2_001.fastq.gz,TS_SN_022_43,2
MT_Ctrl24_4,../input/demux/TS_SN_022/HNJJFDRXX/L002/TS_SN_022_S22_L002_R1_001.fastq.gz,TS_SN_022_44,1
MT_Ctrl24_4,../input/demux/TS_SN_022/HNJJFDRXX/L002/TS_SN_022_S22_L002_R2_001.fastq.gz,TS_SN_022_44,2
MT_A72_4,../input/demux/TS_SN_023/HNJJFDRXX/L001/TS_SN_023_S23_L001_R1_001.fastq.gz,TS_SN_023_45,1
MT_A72_4,../input/demux/TS_SN_023/HNJJFDRXX/L001/TS_SN_023_S23_L001_R2_001.fastq.gz,TS_SN_023_45,2
MT_A72_4,../input/demux/TS_SN_023/HNJJFDRXX/L002/TS_SN_023_S23_L002_R1_001.fastq.gz,TS_SN_023_46,1
MT_A72_4,../input/demux/TS_SN_023/HNJJFDRXX/L002/TS_SN_023_S23_L002_R2_001.fastq.gz,TS_SN_023_46,2
MT_Ctrl72_4,../input/demux/TS_SN_024/HNJJFDRXX/L001/TS_SN_024_S24_L001_R1_001.fastq.gz,TS_SN_024_47,1
MT_Ctrl72_4,../input/demux/TS_SN_024/HNJJFDRXX/L001/TS_SN_024_S24_L001_R2_001.fastq.gz,TS_SN_024_47,2
MT_Ctrl72_4,../input/demux/TS_SN_024/HNJJFDRXX/L002/TS_SN_024_S24_L002_R1_001.fastq.gz,TS_SN_024_48,1
MT_Ctrl72_4,../input/demux/TS_SN_024/HNJJFDRXX/L002/TS_SN_024_S24_L002_R2_001.fastq.gz,TS_SN_024_48,2
